departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro,Direccion2,Full Address,Coords
25,CUNDINAMARCA,25307,GIRARDOT,EDS LA MAGDALENA-GIRARDOT,TEXACO,CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,BIODIESEL EXTRA,"7,860",1,2017-05-04,CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,"CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,GIRARDOT,Colombia","(4.3045959, -74.8031414)"
25,CUNDINAMARCA,25307,GIRARDOT,EDS LA MAGDALENA-GIRARDOT,TEXACO,CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,GASOLINA CORRIENTE OXIGENADA,"8,465",1,2017-05-04,CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,"CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,GIRARDOT,Colombia","(4.3045959, -74.8031414)"
25,CUNDINAMARCA,25307,GIRARDOT,EDS LA MAGDALENA-GIRARDOT,TEXACO,CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,GASOLINA EXTRA OXIGENADA,"11,320",1,2017-05-04,CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,"CARRERA 10 ENTRE CALLES 29 Y 30  BARRIO LA MACARENA,GIRARDOT,Colombia","(4.3045959, -74.8031414)"
25,CUNDINAMARCA,25486,NEMOCON,LA JUANITA,TEXACO,VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,BIODIESEL EXTRA,"7,614",1,2017-08-05,VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,"VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,NEMOCON,Colombia","(5.1042254, -73.912866)"
25,CUNDINAMARCA,25486,NEMOCON,LA JUANITA,TEXACO,VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,GASOLINA CORRIENTE OXIGENADA,"8,127",1,2017-08-05,VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,"VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,NEMOCON,Colombia","(5.1042254, -73.912866)"
25,CUNDINAMARCA,25486,NEMOCON,LA JUANITA,TEXACO,VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,BIOACEM AL 9%,"7,614",1,2017-08-05,VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,"VIA UBATE PEAJE CASABLANCA FINCA LA JUANITA,NEMOCON,Colombia","(5.1042254, -73.912866)"
52,NARIÑO,52079,BARBACOAS,LA ESTACION DE SERVICIO URIBE URIBE,TEXACO,BARRIO LAS BRISAS,GASOLINA CORRIENTE OXIGENADA,"8,700",1,2017-05-04,BARRIO LAS BRISAS,"BARRIO LAS BRISAS,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52079,BARBACOAS,LA ESTACION DE SERVICIO URIBE URIBE,TEXACO,BARRIO LAS BRISAS,BIODIESEL EXTRA,"8,600",1,2017-05-04,BARRIO LAS BRISAS,"BARRIO LAS BRISAS,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),ESTACION DE SERVICIO GASOLINERA LAS XXX,PETROMIL,VEREDA SANTA RITA,BIODIESEL EXTRA,"6,500",1,2017-06-02,VEREDA SANTA RITA,"VEREDA SANTA RITA,SANTA BARBARA (ISCUANDE),Colombia","(2.4505212, -77.98026930000002)"
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),ESTACION DE SERVICIO GASOLINERA LAS XXX,PETROMIL,VEREDA SANTA RITA,GASOLINA CORRIENTE OXIGENADA,"6,300",1,2017-06-02,VEREDA SANTA RITA,"VEREDA SANTA RITA,SANTA BARBARA (ISCUANDE),Colombia","(2.4505212, -77.98026930000002)"
